Study ID,Title,Form,Reviewer,Status,Intervention,Linked suggestion,Group name,Identification: Sponsorship source,Identification: Country,Identification: Author's name,Identification: Institution,Identification: Journal Name,Identification: Paper Title,Identification: Year of Publication,Identification: Notes,Methods: Please copy in one or more separated by a semi-colon: Lab (experimental); Lab (pilot); Economic Assessment; Environmental Assessment; Simulation or Modeling; Characterization,Methods: Notes,Population: Group differences,Population: Total sample size,Population: Notes,Population Baseline Characteristics: Mean age (years) ± SD,Population Baseline Characteristics: Mean age (years) ± SD (Overall),Intervention Characteristics: Raw Feedstock Concentration,Intervention Characteristics: units1,Intervention Characteristics: Leached REE Concentration,Intervention Characteristics: units2,Interventions: Notes,Reported outcomes in study,Outcomes: Notes,Result data: Notes,Outcome details: Example continuous outcome - Reported name,Outcome details: Example continuous outcome - Outcome type,Outcome details: Example continuous outcome - Reported against,Outcome details: Example continuous outcome - Reported as,Outcome details: Example continuous outcome - Reference arm,Outcome details: Example continuous outcome - Outcome group,Outcome details: Example continuous outcome - Reporting,Outcome details: Example continuous outcome - Range,Outcome details: Example continuous outcome - Unit of measure,Outcome details: Example continuous outcome - Timepoints,Outcome details: Example continuous outcome (End of study) Reported time,Outcome details: Example continuous outcome - Notes,Result data: Example continuous outcome (End of study) SD,Result data: Example continuous outcome (End of study) median,Result data: Example continuous outcome (End of study) SMD,Outcome details: Example dichotomous outcome - Reported name,Outcome details: Example dichotomous outcome - Outcome type,Outcome details: Example dichotomous outcome - Reported against,Outcome details: Example dichotomous outcome - Reported as,Outcome details: Example dichotomous outcome - Reference arm,Outcome details: Example dichotomous outcome - Outcome group,Outcome details: Example dichotomous outcome - Reporting,Outcome details: Example dichotomous outcome - Range,Outcome details: Example dichotomous outcome - Unit of measure,Outcome details: Example dichotomous outcome - Timepoints,Outcome details: Example dichotomous outcome (End of study) Reported time,Outcome details: Example dichotomous outcome - Notes,Result data: Example dichotomous outcome (End of study) Events,Result data: Example dichotomous outcome (End of study) Total,Outcome details: REE Results (idk) - Reported name,Outcome details: REE Results (idk) - Outcome type,Outcome details: REE Results (idk) - Reported against,Outcome details: REE Results (idk) - Reported as,Outcome details: REE Results (idk) - Reference arm,Outcome details: REE Results (idk) - Outcome group,Outcome details: REE Results (idk) - Reporting,Outcome details: REE Results (idk) - Range,Outcome details: REE Results (idk) - Unit of measure,Outcome details: REE Results (idk) - Timepoints,Outcome details: REE Results (idk) (Hydrometal) Reported time,Outcome details: REE Results (idk) (Pyrometal) Reported time,Outcome details: REE Results (idk) - Notes,Result data: REE Results (idk) (Hydrometal) Themes,Result data: REE Results (idk) (Hydrometal) Quote,Result data: REE Results (idk) (Hydrometal) Specific Feedstock,Result data: REE Results (idk) (Pyrometal) Themes,Result data: REE Results (idk) (Pyrometal) Quote,Result data: REE Results (idk) (Pyrometal) Specific Feedstock,Outcome details: Circular Economy - Reported name,Outcome details: Circular Economy - Outcome type,Outcome details: Circular Economy - Reported against,Outcome details: Circular Economy - Reported as,Outcome details: Circular Economy - Reference arm,Outcome details: Circular Economy - Outcome group,Outcome details: Circular Economy - Reporting,Outcome details: Circular Economy - Range,Outcome details: Circular Economy - Unit of measure,Outcome details: Circular Economy - Timepoints,Outcome details: Circular Economy (End of study) Reported time,Outcome details: Circular Economy - Notes,Result data: Circular Economy (End of study) Total,Result data: Circular Economy (End of study) Reuse
Lin 2017,Enrichment of rare earth elements from coal and coal by-products by physical separations,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Cánovas 2019,Leaching of rare earth elements (REEs) and impurities from phosphogypsum: A preliminary insight for further recovery of critical raw materials,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Lallemand 2022,Potential of Ligand-Promoted Dissolution at Mild pH for the Selective Recovery of Rare Earth Elements in Bauxite Residues,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Widjaja 2024,Microwave-assisted extraction of rare earth elements from phosphogypsum—Effect of hydrogen peroxide addition,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Nkinahamira 2021,Recovery and purification of rare earth elements from wastewater and sludge using a porous magnetic composite of β-cyclodextrin and silica doped with PC88A,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
AitBrahim 2023,Recovery of rare earth elements and sulfuric acid solution from phosphate byproducts via hydrofluoric acid conversion,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Masmoudi-Soussi 2020,Rare earths recovery by fractional precipitation from a sulfuric leach liquor obtained after phosphogypsum processing,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Gasser 2022,Alkali treatment–acid leaching of rare earth elements from phosphogypsum fertilizer: insight for additional resource of valuable components,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Jally 2021,A new method for recovering rare earth elements from the hyperaccumulating fern Dicranopteris linearis from China,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
Kumari 2021,Electrochemical treatment of spent NdFeB magnet in organic acid for recovery of rare earths and other metal values,Reviewer 1,Unassigned,Not started,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","","","","",Standard,"",Not applicable,Primary,"","","","Hydrometal, Pyrometal","","","","","","","","","","","",Standard,"",Not applicable,Primary,"","","",End of study,"","","",""
